date,bot_name,strategy,profit,win_count,loss_count,total_trades,max_drawdown,balance,starting_capital,win_rate
2026-02-10,Alex_Divergence_Optuna-9060,unknown,-302.62968914,0,0,1331,"0.0000",701.65076179,"",""
2026-02-10,Alex_NinjaV9-9070,unknown,61.65678239,0,0,514,"0.0000",262.31785904,"",""
2026-02-10,Bot-9030,unknown,"-1.74688580",0,0,95,"0.0000",94.73887289,"",""
2026-02-10,Alex_DivergenceV41-9090,unknown,-86.86352963,0,0,841,"0.0000",313.43924688,"",""
2026-02-10,Alex_DivergenceV5-9100,unknown,-65.09290165,0,0,171,"0.0000",936.22498005,"",""
2026-02-11,Alex_NinjaV10-9030,unknown,-18.68997547,0,0,133,"0.0000",77.53564168,"",""
2026-02-10,AlexRegimePullbackFuturesV1-9110,unknown,-94.06207035,0,0,143,"0.0000",905.53928044,"",""
2026-02-11,Bot-9030,unknown,-3.54636228,0,0,114,"0.0000","92.77104530","",""
2026-02-11,AlexNexusForgeV8AIV2-9050,unknown,773.75968906,0,0,1457,"0.0000",1775.31078789,"",""
2026-02-11,Alex_Divergence_Optuna-9060,unknown,-281.38296603,0,0,1389,"0.0000",718.60008108,"",""
2026-02-12,AlexBandSniperV18MLAIM-9000,unknown,-88.73821601,0,0,758,"0.0000",311.25871636,"",""
2026-02-11,Bot-9050,unknown,773.75968906,0,0,1457,"0.0000",1775.31078789,"",""
2026-02-11,Bot-9020,unknown,3.03776066,0,0,22,"0.0000",403.37515519,"",""
2026-02-11,AlexRegimePullbackFuturesV1-9110,unknown,"-102.61447510",0,0,163,"0.0000",897.87352842,"",""
2026-02-12,AlexRegimePullbackFuturesV1-9110,unknown,-121.47204131,0,0,184,"0.0000","878.83063440","",""
2026-02-12,Alex_DivergenceV41-9090,unknown,-120.58206812,0,0,941,"0.0000","279.31732170","",""
2026-02-12,Alex_DivergenceV6-9100,unknown,13.47853056,0,0,24,"0.0000",1013.48690593,"",""
2026-02-12,AlexSignalForgeV3-9020,unknown,"2.47748180",0,0,27,"0.0000",403.09671141,"",""
2026-02-14,Bot-9040,unknown,-92.81224515,0,0,553,"0.0000",107.42408108,"",""
2026-02-14,Bot-9080,unknown,-46.62396625,0,0,112,"0.0000",353.20847485,"",""
2026-02-13,Bot-9070,unknown,56.26590476,0,0,662,"0.0000",256.97438724,"",""
2026-02-13,HybridOrderbookStrategy15m-9080,unknown,-26.99124861,0,0,98,"0.0000",373.51543159,"",""
2026-02-14,Alex_DivergenceV8-9100,unknown,-49.88100779,0,0,72,"0.0000",950.03459035,"",""
2026-02-14,AlexRegimePullbackFuturesV1-9110,unknown,-131.10262666,0,0,212,"0.0000","868.92885430","",""
2026-02-13,AlexBandSniperV18MLAIM-9000,unknown,"-82.80674070",0,0,841,"0.0000",319.00441894,"",""
2026-02-13,AlexBandSniperV19MLAI-9010,unknown,-234.78903311,0,0,1030,"0.0000","565.57465970","",""
2026-02-13,AlexSignalForgeV4-9020,unknown,8.68078126,0,0,34,"0.0000",408.94492126,"",""
